Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
57.0,-11604.80241,5718.38770,-895.54118,1594.57326,-5187.38263,747.54533,747.48037, 
57.1,-11604.80241,5719.96846,-895.54117,1591.78070,-5188.59442,746.33354,746.26858, 
57.2,-11604.80241,5721.54234,-895.54117,1588.99781,-5189.80343,745.12454,745.05957, 
57.3,-11604.80241,5723.10850,-895.54116,1586.22473,-5191.01034,743.91762,743.85266, 
57.4,-11604.80241,5724.66786,-895.54116,1583.46121,-5192.21450,742.71347,742.64850, 
57.5,-11604.80241,5726.21957,-895.54115,1580.70740,-5193.41658,741.51138,741.44642, 
57.6,-11604.80241,5727.76412,-895.54115,1577.96316,-5194.61627,740.31169,740.24673, 
57.7,-11604.80241,5729.30197,-895.54115,1575.22833,-5195.81326,739.11471,739.04974, 
57.8,-11604.80241,5730.83228,-895.54114,1572.50306,-5197.00821,737.91975,737.85479, 
57.9,-11604.80241,5732.35596,-895.54114,1569.78710,-5198.20048,736.72748,736.66252, 
58.0,-11604.80241,5733.87218,-895.54114,1567.08061,-5199.39075,735.53721,735.47225, 
58.1,-11604.80241,5735.38139,-895.54114,1564.38344,-5200.57871,734.34926,734.28429, 
58.2,-11604.80241,5736.88408,-895.54113,1561.69544,-5201.76402,733.16394,733.09898, 
58.3,-11604.80241,5738.37939,-895.54113,1559.01676,-5202.94739,731.98057,731.91561, 
58.4,-11604.80241,5739.86824,-895.54113,1556.34715,-5204.12815,730.79981,730.73485, 
58.5,-11604.80241,5741.34978,-895.54113,1553.68676,-5205.30699,729.62097,729.55601, 
58.6,-11604.80241,5742.82448,-895.54113,1551.03546,-5206.48360,728.44437,728.37940, 
58.7,-11604.80241,5744.29279,-895.54113,1548.39309,-5207.65765,727.27031,727.20535, 
58.8,-11604.80241,5745.75389,-895.54113,1545.75981,-5208.82983,726.09813,726.03317, 
58.9,-11604.80241,5747.20867,-895.54113,1543.13537,-5209.99950,724.92847,724.86350, 
59.0,-11604.80241,5748.65629,-895.54113,1540.51993,-5211.16732,723.76064,723.69568, 
59.1,-11604.80241,5750.09721,-895.54113,1537.91333,-5212.33299,722.59497,722.53001, 
59.2,-11604.80241,5751.53188,-895.54112,1535.31545,-5213.49620,721.43176,721.36680, 
59.3,-11604.80241,5752.95948,-895.54112,1532.72642,-5214.65763,720.27034,720.20537, 
59.4,-11604.80241,5754.38089,-895.54112,1530.14602,-5215.81662,719.11134,719.04638, 
59.5,-11604.80241,5755.79528,-895.54112,1527.57438,-5216.97387,717.95410,717.88913, 
59.6,-11604.80241,5757.20311,-895.54112,1525.01138,-5218.12905,716.79892,716.73395, 
59.7,-11604.80241,5758.60481,-895.54112,1522.45686,-5219.28186,715.64611,715.58114, 
59.8,-11604.80241,5759.99958,-895.54112,1519.91098,-5220.43296,714.49500,714.43004, 
59.9,-11604.80241,5761.38828,-895.54112,1517.37351,-5221.58174,713.34623,713.28126, 
60.0,-11604.80241,5762.77009,-895.54112,1514.84459,-5222.72884,712.19912,712.13416, 
60.1,-11604.80241,5764.14546,-895.54112,1512.32409,-5223.87397,711.05399,710.98903, 
60.2,-11604.80241,5765.51483,-895.54112,1509.81187,-5225.01683,709.91114,709.84617, 
60.3,-11604.80241,5766.87739,-895.54112,1507.30807,-5226.15806,708.76990,708.70494, 
60.4,-11604.80241,5768.23400,-895.54112,1504.81247,-5227.29706,707.63091,707.56594, 
60.5,-11604.80241,5769.58384,-895.54112,1502.32522,-5228.43447,706.49350,706.42853, 
60.6,-11604.80241,5770.92736,-895.54112,1499.84617,-5229.56999,705.35797,705.29301, 
60.7,-11604.80241,5772.26500,-895.54112,1497.37520,-5230.70333,704.22464,704.15967, 
60.8,-11604.80241,5773.59595,-895.54112,1494.91245,-5231.83513,703.09283,703.02787, 
60.9,-11604.80241,5774.92106,-895.54112,1492.45769,-5232.96478,701.96319,701.89822, 
61.0,-11604.80241,5776.23953,-895.54112,1490.01108,-5234.09292,700.83504,700.77008, 
61.1,-11604.80241,5777.55179,-895.54112,1487.57247,-5235.21926,699.70870,699.64374, 
61.2,-11604.80241,5778.85829,-895.54112,1485.14174,-5236.34350,698.58447,698.51950, 
61.3,-11604.80241,5780.15821,-895.54112,1482.71903,-5237.46628,697.46169,697.39672, 
61.4,-11604.80241,5781.45242,-895.54112,1480.30413,-5238.58698,696.34098,696.27602, 
61.5,-11604.80241,5782.74010,-895.54112,1477.89717,-5239.70627,695.22170,695.15673, 
61.6,-11604.80241,5784.02169,-895.54112,1475.49802,-5240.82382,694.10415,694.03918, 
61.7,-11604.80241,5785.29763,-895.54112,1473.10656,-5241.93934,692.98862,692.92366, 
61.8,-11604.80241,5786.56712,-895.54112,1470.72293,-5243.05348,691.87449,691.80952, 
61.9,-11604.80241,5787.83101,-895.54112,1468.34690,-5244.16562,690.76235,690.69738, 
62.0,-11604.80241,5789.08849,-895.54112,1465.97864,-5245.27639,689.65157,689.58661, 
62.1,-11604.80241,5790.34002,-895.54112,1463.61800,-5246.38551,688.54246,688.47749, 
62.2,-11604.80241,5791.58600,-895.54112,1461.26486,-5247.49266,687.43530,687.37034, 
62.3,-11604.80241,5792.82567,-895.54112,1458.91937,-5248.59849,686.32947,686.26451, 
62.4,-11604.80241,5794.05984,-895.54112,1456.58131,-5249.70238,685.22558,685.16062, 
62.5,-11604.80241,5795.28775,-895.54112,1454.25081,-5250.80497,684.12300,684.05803, 
62.6,-11604.80241,5796.50982,-895.54112,1451.92776,-5251.90595,683.02201,682.95705, 
62.7,-11604.80241,5797.72647,-895.54112,1449.61203,-5253.00502,681.92294,681.85798, 
