Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
69.2,-20308.40449,14551.23986,1145.41631,3537.57488,-1074.17345,2923.98295,2923.18795, 
69.3,-20308.40449,14561.15213,1145.42123,3532.46984,-1069.36129,2919.17080,2918.37579, 
69.4,-20308.40449,14571.02828,1145.42591,3527.37991,-1064.57039,2914.37990,2913.58489, 
69.5,-20308.40449,14580.87087,1145.43036,3522.30462,-1059.79865,2909.60816,2908.81315, 
69.6,-20308.40449,14590.68004,1145.43459,3517.24391,-1055.04595,2904.85546,2904.06045, 
69.7,-20308.40449,14600.45599,1145.43860,3512.19773,-1050.31217,2900.12168,2899.32667, 
69.8,-20308.40449,14610.20121,1145.44241,3507.16562,-1045.59525,2895.40476,2894.60975, 
69.9,-20308.40449,14619.91119,1145.44603,3502.14829,-1040.89898,2890.70849,2889.91348, 
70.0,-20308.40449,14629.58844,1145.44946,3497.14530,-1036.22129,2886.03080,2885.23579, 
70.1,-20308.40449,14639.23314,1145.45272,3492.15658,-1031.56206,2881.37156,2880.57656, 
70.2,-20308.40449,14648.84544,1145.45581,3487.18207,-1026.92117,2876.73068,2875.93567, 
70.3,-20308.40449,14658.42783,1145.45874,3482.22134,-1022.29658,2872.10609,2871.31108, 
70.4,-20308.40449,14667.97584,1145.46152,3477.27508,-1017.69206,2867.50157,2866.70656, 
70.5,-20308.40449,14677.49194,1145.46415,3472.34285,-1013.10555,2862.91506,2862.12005, 
70.6,-20308.40449,14686.97632,1145.46664,3467.42459,-1008.53694,2858.34644,2857.55144, 
70.7,-20308.40449,14696.42912,1145.46901,3462.52025,-1003.98611,2853.79562,2853.00061, 
70.8,-20308.40449,14705.85282,1145.47125,3457.62938,-999.45104,2849.26055,2848.46554, 
70.9,-20308.40449,14715.24297,1145.47337,3452.75269,-994.93546,2844.74497,2843.94996, 
71.0,-20308.40449,14724.60203,1145.47538,3447.88973,-990.43735,2840.24686,2839.45185, 
71.1,-20308.40449,14733.93017,1145.47727,3443.04045,-985.95659,2835.76610,2834.97109, 
71.2,-20308.40449,14743.22754,1145.47907,3438.20479,-981.49308,2831.30259,2830.50758, 
71.3,-20308.40449,14752.49659,1145.48077,3433.38233,-977.04479,2826.85430,2826.05929, 
71.4,-20308.40449,14761.73290,1145.48238,3428.57375,-972.61546,2822.42497,2821.62996, 
71.5,-20308.40449,14770.93893,1145.48390,3423.77861,-968.20305,2818.01256,2817.21755, 
71.6,-20308.40449,14780.11481,1145.48534,3418.99687,-963.80747,2813.61697,2812.82197, 
71.7,-20308.40449,14789.26072,1145.48670,3414.22847,-959.42860,2809.23811,2808.44310, 
71.8,-20308.40449,14798.37907,1145.48798,3409.47299,-955.06445,2804.87396,2804.07895, 
71.9,-20308.40449,14807.46548,1145.48919,3404.73109,-950.71873,2800.52824,2799.73323, 
72.0,-20308.40449,14816.52237,1145.49034,3400.00237,-946.38941,2796.19892,2795.40391, 
72.1,-20308.40449,14825.54989,1145.49142,3395.28677,-942.07641,2791.88592,2791.09091, 
72.2,-20308.40449,14834.54820,1145.49244,3390.58423,-937.77963,2787.58913,2786.79413, 
72.3,-20308.40449,14843.51969,1145.49340,3385.89434,-933.49706,2783.30657,2782.51156, 
72.4,-20308.40449,14852.46002,1145.49431,3381.21776,-929.23240,2779.04191,2778.24690, 
72.5,-20308.40449,14861.37158,1145.49517,3376.55408,-924.98366,2774.79317,2773.99816, 
72.6,-20308.40449,14870.25453,1145.49598,3371.90325,-920.75073,2770.56024,2769.76523, 
72.7,-20308.40449,14879.10901,1145.49674,3367.26522,-916.53353,2766.34304,2765.54803, 
72.8,-20308.40449,14887.93739,1145.49746,3362.63957,-912.33007,2762.13958,2761.34457, 
72.9,-20308.40449,14896.73536,1145.49813,3358.02697,-908.14403,2757.95354,2757.15853, 
73.0,-20308.40449,14905.50530,1145.49877,3353.42700,-903.97342,2753.78293,2752.98792, 
73.1,-20308.40449,14914.24735,1145.49937,3348.83962,-899.81816,2749.62767,2748.83266, 
73.2,-20308.40449,14922.96165,1145.49994,3344.26477,-895.67814,2745.48765,2744.69264, 
73.3,-20308.40449,14931.65056,1145.50047,3339.70206,-891.55141,2741.36092,2740.56591, 
73.4,-20308.40449,14940.30978,1145.50097,3335.15212,-887.44161,2737.25112,2736.45611, 
73.5,-20308.40449,14948.94169,1145.50144,3330.61457,-883.34679,2733.15630,2732.36129, 
