Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
49.2,-6823.62391,3653.37281,-60.57179,1950.60541,-1280.21748,20.30320,20.44652, 
49.3,-6823.62391,3657.23419,-60.57179,1946.64887,-1280.31264,20.20804,20.35136, 
49.4,-6823.62391,3661.08392,-60.57179,1942.70819,-1280.40359,20.11709,20.26041, 
49.5,-6823.62391,3664.92107,-60.57179,1938.78359,-1280.49104,20.02964,20.17296, 
49.6,-6823.62391,3668.74602,-60.57179,1934.87481,-1280.57487,19.94581,20.08913, 
49.7,-6823.62391,3672.55914,-60.57179,1930.98161,-1280.65494,19.86573,20.00906, 
49.8,-6823.62391,3676.35952,-60.57179,1927.10420,-1280.73199,19.78869,19.93201, 
49.9,-6823.62391,3680.14793,-60.57179,1923.24218,-1280.80559,19.71508,19.85841, 
50.0,-6823.62391,3683.92346,-60.57179,1919.39575,-1280.87649,19.64419,19.78751, 
50.1,-6823.62391,3687.68646,-60.57179,1915.56468,-1280.94456,19.57612,19.71944, 
50.2,-6823.62391,3691.43729,-60.57179,1911.74873,-1281.00968,19.51100,19.65432, 
50.3,-6823.62391,3695.17502,-60.57179,1907.94809,-1281.07259,19.44809,19.59141, 
50.4,-6823.62391,3698.90043,-60.57179,1904.16240,-1281.13288,19.38780,19.53112, 
50.5,-6823.62391,3702.61258,-60.57179,1900.39184,-1281.19129,19.32939,19.47271, 
50.6,-6823.62391,3706.31183,-60.57179,1896.63618,-1281.24770,19.27298,19.41630, 
50.7,-6823.62391,3709.99850,-60.57179,1892.89519,-1281.30200,19.21867,19.36200, 
50.8,-6823.62391,3713.67170,-60.57179,1889.16908,-1281.35493,19.16575,19.30907, 
50.9,-6823.62391,3717.33215,-60.57179,1885.45746,-1281.40609,19.11459,19.25791, 
51.0,-6823.62391,3720.97896,-60.57179,1881.76054,-1281.45620,19.06448,19.20780, 
51.1,-6823.62391,3724.61245,-60.57179,1878.07809,-1281.50516,19.01552,19.15884, 
51.2,-6823.62391,3728.23295,-60.57179,1874.40989,-1281.55286,18.96782,19.11114, 
51.3,-6823.62391,3731.83956,-60.57179,1870.75612,-1281.60002,18.92066,19.06398, 
51.4,-6823.62391,3735.43301,-60.57179,1867.11644,-1281.64625,18.87443,19.01775, 
51.5,-6823.62391,3739.01241,-60.57179,1863.49102,-1281.69227,18.82841,18.97173, 
